rank,title_zh,year,note
273,不再着迷,1990,
274,梦,1990,
275,梵高,1991,
276,米勒的十字路口,1990,
277,巴顿·芬克,1991,
278,教父3,1990,
279,特写,1990,
280,我再也听不见吉他声,1991,
281,剪刀手爱德华,1990,
282,八月狂想曲,1991,
283,新桥恋人,1991,
284,巴黎苏醒,1991,
285,不可饶恕,1992,
286,不速之客,1991,
287,生生长流,1992,
288,丈夫、太太与情人,1992,
289,野兽之夜,1992,
290,国境线,1992,
291,哨兵,1992,
292,冬天的故事,1992,
293,追逐蝴蝶,1992,
294,微笑之屋,1991,
295,妄想,1992,
296,牯岭街少年杀人事件,1991,
297,橡树,1992,
298,完美的世界,1993,
299,亚伯拉罕山谷,1993,
300,大树、市长和文化馆,1993,
301,吸烟/不吸烟,1993,
302,无声国度,1993,
303,森林中的日与夜,1970,
304,疯狗与格拉瑞小姐,1993,
305,午夜猎物,1992,
306,坏中尉,1992,
307,悲哀于我,1993,
308,亲爱的日记,1993,
309,难以入眠,1994,
310,情枭的黎明,1993,
311,野芦苇,1994,
312,圣诞夜惊魂,1993,
313,特沃塔和我,1994,
314,美丽的折磨,1994,
315,圣女贞德：战争篇,1994,
316,美国回老家,1994,
317,同死者谈判,1994,
318,蝴蝶君,1993,
319,冷酷祭典,1995,
320,难为了爸爸,1995,
321,时间,1995,
322,廊桥遗梦,1995,
323,请忘记我,1994,
324,我的秘密之花,1995,
325,奏鸣曲,1993,
326,艾德·伍德,1994,
327,橄榄树下的情人,1994,
328,战栗黑洞,1994,
329,欲望号快车,1996,
330,永远的莫扎特,1996,
331,赌城风云,1995,
332,我的性生活,1996,
333,上帝的喜剧,1995,
334,离魂异客,1995,
335,夜夜夜贼,1996,
336,碟中谍,1996,
337,更多,1996,
338,非对称情爱,1996,
339,别忘记你将死,1995,
340,花火,1997,
341,南国再见，南国,1996,
342,妖夜慌踪,1997,
343,鳗鱼,1997,
344,河流,1997,
345,樱桃的滋味,1997,
346,法国香颂,1997,
347,第七天堂,1997,
348,变脸,1997,
349,惊声尖叫,1996,
350,春光乍泄,1997,
351,海上花,1998,
352,肝脏大夫,1998,
353,午夜善恶花园,1997,
354,秋天的故事,1998,
355,不安,1998,
356,苏,1997,
358,天鹅绒金矿,1998,
359,蛇眼,1998,
360,骨未成灰,1997,
361,危险关系,1997,
362,迷失故里,1998,
363,泰坦尼克号,1997,
364,大开眼戒,1999,
365,随风而逝,1999,
366,西西里岛,1999,
367,感官游戏,1999,
368,夜风,1999,
369,迫切的任务,1999,
370,情归何处,1999,
371,史崔特先生的故事,1999,
372,鬼狗杀手,1999,
373,上帝的婚礼,1999,
374,伊斯特·康,2000,
375,迷惑,2000,
376,月亮上的男人,1999,
377,火星任务,2000,
378,花样年华,2000,
379,家庭私小说,1999,
380,处女之死,1999,
381,一一,2000,
382,太空牛仔,2000,
383,上帝啊，真笨！,2000,
384,穆赫兰道,2001,
385,英国贵妇与法国公爵,2001,
386,千禧曼波,2001,
387,顺流逆流,2000,
388,我要回家,2001,
389,站台,2000,
390,狂野天真,2001,
391,浩劫之后其二：索比堡,2001,
392,儿子的房间,2001,
393,惊惧圣诞,2001,
394,都会性男女,2002,
395,十段生命的律动,2002,
396,祝福,2002,
397,另一边,2002,
398,测不准原理,2002,
399,信仰时分,2002,
400,对她说,2002,
401,千与千寻,2001,
402,蜘蛛梦魇,2002,
403,盖瑞,2002,
404,24小时,2001,
405,热带疾病,2004,
408,神秘村,2004,
409,沙罗双树,2003,
410,国王与王后,2004,
411,棕兔,2003,
412,咖啡时光,2003,
413,杀死比尔2,2004,
414,萨拉邦德,2003,
415,最后的日子,2005,
416,暴力史,2005,
417,平凡情人,2005,
418,世界,2004,
419,小上尉,2005,
420,最好的时光,2005,
421,三分之一的眼睛,2005,
422,和我在一起,2005,
423,灰熊人,2005,
424,罪恶之城,2005,
425,剧场前,2005,
426,心之归属,2006,
427,太阳,2005,
428,汉江怪物,2006,
429,查泰莱夫人的情人,2006,
430,现代离婚故事,2005,
431,卡波特,2005,
432,与他们的对话,2006,
433,水中女妖,2006,
434,无间道风云,2006,
435,父辈的旗帜,2006,
436,新世界,2005,
437,迷幻公园,2007,
438,金刚不坏,2007,
439,内陆帝国,2006,
440,三峡好人,2006,
441,法兰西,2007,
442,十二宫,2007,
443,在我遗忘之前,2007,
444,唐吉诃德,2006,
445,男神与女神的罗曼史,2007,
446,黑眼圈,2006,
447,恋爱症候群,2006,
448,别碰斧子,2007,
449,节选修订,2007,
450,前进青春,2006,
451,科洛弗档案,2008,
452,老无所依,2007,
453,两个情人,2008,
454,和巴什尔跳华尔兹,2008,
455,最后的抵抗分子,2008,
456,饥饿,2008,
457,国民的诞生,2006,
458,情迷恋战,2008,
459,疯草,2009,
460,征服,2009,
461,无耻混蛋,2009,
462,老爷车,2008,
463,金发奇女,2009,
464,泰特罗,2009,
465,拆弹部队,2008,
466,逃亡大王,2009,
467,东京奏鸣曲,2008,
468,哈德维希,2009,
469,能召回前世的布米叔叔,2010,
470,坏中尉,2009,
471,电影社会主义,2010,
472,玩具总动员3,2010,
473,了不起的狐狸爸爸,2009,
474,严肃的男人,2009,
475,像男人一样死去,2009,
476,社交网络,2010,
477,舒迦,2007,
478,母亲,2009,
479,教皇诞生,2011,
480,安吉里卡奇遇,2010,
481,生命之树,2011,
482,必要的杀戮,2010,
483,撒旦之外,2011,
484,炎炎夏日,2011,
485,忧郁症,2011,
486,米克的近路,2010,
488,超级八,2011,
489,神圣车行,2012,
490,大都会,2012,
491,从此刻到日出,2011,
492,地球最末日,2011,
493,在异国,2012,
494,存身,2011,
495,戈戈舞的故事,2007,
496,禁忌,2012,
497,浮士德,2011,
498,点亮灯光,2012,
499,湖畔的陌生人,2013,
500,春假,2012,
501,阿黛尔的生活,2013,
502,地心引力,2013,
504,林肯,2012,
505,嫉妒,2013,
506,不是任何人女儿的海媛,2013,
507,午夜狂欢,2013,
508,索尔菲雷诺之战,2013,
509,小宽宽,2014,
510,再见语言,2014,
511,皮囊之下,2013,
512,星图,2014,
513,起风了,2013,
515,妈咪,2014,
516,爱很怪,2014,
517,天堂,2014,
518,我们善熙,2013,
519,我的母亲,2015,
520,幻梦墓园,2015,
521,女人的阴影,2015,
522,气味相投,2014,
523,疯狂的麦克斯4：狂暴之路,2015,
524,安乐乡,2014,
525,性本恶,2014,
526,一千零一夜第1部：不安之人,2015,
527,桑格莉之夏,2015,
528,岸边之旅,2015,
529,托尼·厄德曼,2016,
530,她,2016,
531,霓虹恶魔,2016,
532,水瓶座,2016,
533,玛·鲁特,2016,
534,胡丽叶塔,2016,
535,保持站立,2016,
536,丛林法则,2016,
537,卡罗尔,2015,
538,我们在这片森林里制造梦想,2015,
539,双峰,2017,
540,童女贞德,2017,
541,某种女人,2016,
542,逃出绝命镇,2017,
543,之后,2017,
544,一日情人,2017,
545,好时光,2017,
546,分裂,2016,
547,第一夫人,2016,
548,比利·林恩的中场战事,2016,
549,野小子们,2017,
550,宽宽和非人类,2018,
551,魅影缝匠,2017,
552,燃烧,2018,
553,保罗·桑谢回来了！,2018,
554,华盛顿邮报,2017,
555,独自在夜晚的海边,2017,
556,此房是我造,2018,
557,盛夏,2018,
558,金银岛,2018,
559,影像之书,2018,
560,寄生虫,2019,
561,同义词,2019,
562,巴克劳,2019,
563,贞德,2019,
564,痛苦与荣耀,2019,
565,悲惨世界,2019,
566,骡子,2018,
567,小丑,2019,
568,爱尔兰人,2019,
569,波士顿市政厅,2020,
570,逃走的女人,2020,
571,原钻,2019,
572,马尔姆克罗格庄园,2020,
573,所言所行,2020,
574,江边旅馆,2018,
575,春江水暖,2019,
576,眼泪之盐,2020,
577,太棒了,2019,
578,八月处子,2019,
579,第一头牛,2019,
580,安妮特,2021,
581,记忆,2021,
582,驾驶我的车,2021,
583,法兰西,2021,
584,法兰西特派,2021,
585,南法撩妹记,2020,
586,女孩和蜘蛛,2021,
587,算牌人,2021,
588,圣母,2021,
589,岛屿上的煎熬,2022,
590,甘草披萨,2021,
591,不,2022,
592,驴叫,2022,
593,偶然与想象,2021,
594,土星保龄球,2022,
595,阿波罗10½号：太空时代的童年,2022,
596,引见,2021,
597,跟我走吧,2022,
598,谁能阻挡我们,2021,
599,迷雾中的她(上),2022,
600,闭上眼睛,2023,
601,坠落的审判,2023,
602,造梦之家,2022,
603,枯叶,2023,
604,摆动,2022,
605,不要太期待世界末日,2023,
606,寺木帮,2022,
607,去年夏天,2023,
608,王子,2023,
609,开展在即,2022,
610,宽恕,2024,
611,五月十二月,2023,
612,在水中,2023,
613,利益区域,2023,
614,想象之光,2024,
615,罪犯们,2023,
616,邪恶不存在,2023,
617,我这一辈子,2024,
618,陷阱,2024,
619,分手派对,2024,
620,孤寂午后,2024,
621,一战再战,2025,
622,是的,2025,
623,密探,2025,
624,笑刃荒途,2025,
625,奇遇,2025,
626,与马克·布朗的七次散步,2024,
627,新浪潮,2025,
628,风中的洛朗,2025,
629,镜的第三乐章,2025,
