rank,title_zh,year,note
211,柏林苍穹下,1987,
212,飞向太空,1972,
213,波长,1967,
214,月光男孩,2016,
215,破浪,1996,
216,木兰花,1999,
217,操行零分,1933,
218,独行杀手,1967,
219,蓬门今始为君开,1952,
220,小孩与鹰,1969,
221,愤怒的葡萄,1940,
222,风烛泪,1952,
223,妙想天开,1985,
224,西鹤一代女,1952,
225,何处是我朋友的家,1987,
226,苏利文的旅行,1941,
227,爱的激流,1984,
228,流浪艺人,1975,
229,黑上帝白魔鬼,1964,
230,德意志零年,1948,
231,房屋是黑的,1963,
232,灰烬与钻石,1958,
233,寄生虫,2019,
234,红色沙漠,1964,
235,花村,1971,
236,黑客帝国,1999,
237,黄金时代,1946,
238,秋刀鱼之味,1962,
239,群众,1928,
240,伊凡雷帝2,1958,
241,低度开发的回忆,1968,
242,迷幻演出,1970,
243,隐藏摄像机,2005,
244,橡皮头,1977,
245,伊凡雷帝,1944,
246,兰闺艳血,1950,
247,篷车队,1953,
248,谋杀绿脚趾,1998,
249,辛德勒的名单,1993,
250,细细的红线,1998,
251,火树银花,1944,
252,暖暖内含光,2004,
253,乡村牧师日记,1951,
254,天堂电影院,1988,
255,绿光,1986,
256,大地的女儿,1991,
257,刽子手,1963,
258,毕业生,1967,
259,禁忌,1931,
260,白日美人,1967,
261,卡里加里博士的小屋,1920,
262,大开眼戒,1999,
263,红河,1948,
264,蓝白红三部曲之蓝,1993,
265,能召回前世的布米叔叔,2010,
266,盗火线,1995,
267,夜与雾,1956,
268,驱魔人,1973,
269,冰血暴,1996,
270,黑女孩,1966,
271,碧血金沙,1948,
272,赝品,1973,
273,仁心与冠冕,1949,
274,樱桃的滋味,1997,
275,慕德家一夜,1969,
276,成功的滋味,1957,
277,回到未来,1985,
278,残菊物语,1939,
279,街角的商店,1940,
280,沼泽,2001,
281,光荣之路,1957,
282,不散,2003,
283,土拨鼠之日,1993,
284,蜘蛛巢城,1957,
285,复仇之日,1943,
286,我略知她一二,1967,
287,潘多拉的魔盒,1929,
288,上升,1977,
289,牺牲,1986,
290,影子部队,1969,
291,深锁春光一院愁,1955,
292,印度之歌,1975,
293,蓝白红三部曲之红,1994,
294,关于我母亲的一切,1999,
295,夜长梦多,1946,
296,歌厅,1972,
297,春光乍泄,1997,
298,不可饶恕,1992,
299,爵士春秋,1979,
300,远方的声音,1988,
301,穷街陋巷,1973,
302,浮云,1955,
303,痛苦的大地,1967,
304,于洛先生的假期,1953,
305,音乐室,1958,
306,马耳他之鹰,1941,
307,孤独的妻子,1964,
308,大树之歌,1959,
309,忧郁症,2011,
310,面孔,1968,
311,上帝之城,2002,
312,鲸鱼马戏团,2000,
313,我是古巴,1964,
314,北方的纳努克,1922,
315,一次别离,2011,
316,凡尔杜先生,1947,
317,录影带谋杀案,1983,
318,公路之王,1976,
319,畸形人,1932,
320,柏林亚历山大广场,1980,
321,美女与野兽,1946,
322,费城故事,1940,
323,星球大战2：帝国反击战,1980,
324,天国与地狱,1963,
325,劳拉·蒙特斯,1955,
326,柳媚花娇,1967,
327,夫君,1970,
328,夜夜春宵,1944,
329,莫扎特传,1984,
330,雌雄大盗,1967,
331,寻子遇仙记,1921,
332,诗人悲歌,1957,
333,地下,1995,
334,童年往事,1985,
335,残花泪,1919,
336,喜剧之王,1982,
337,恐惧的代价,1953,
338,午夜牛郎,1969,
339,侠女,1970,
340,雁南飞,1957,
341,周末,1967,
342,死吻,1955,
343,两生花,1991,
344,西区故事,1961,
345,云遮星,1960,
346,疯狂的麦克斯4：狂暴之路,2015,
347,热天午后,1975,
348,逃出绝命镇,2017,
349,活死人之夜,1968,
350,戏梦人生,1993,
351,他,1953,
352,出局：禁止接触,1971,
353,最后一场电影,1971,
354,青山翠谷,1941,
355,魂断情天,1958,
356,木屐树,1978,
357,一夜风流,1934,
358,明日之歌,1937,
359,巴黎最后的探戈,1972,
360,榅桲树阳光,1992,
361,天堂之门,1980,
362,莫里埃尔,1963,
363,艳贼,1964,
364,橄榄树下的情人,1994,
365,沉默的羔羊,1991,
366,金玉盟,1957,
367,用心棒,1961,
368,哈洛与慕德,1971,
369,定理,1968,
370,偷窥狂,1960,
371,陆上行舟,1982,
372,妖夜慌踪,1997,
373,天堂陌影,1984,
374,苦雨恋春风,1956,
375,我出生了，但……,1932,
376,火山边缘之恋,1950,
377,双车道柏油路,1971,
378,白丝带,2009,
379,都灵之马,2011,
380,安然无恙,1995,
381,异形2,1986,
382,象人,1980,
383,谋杀地下老板,1976,
384,摇滚万万岁,1984,
385,乡愁,1983,
386,皮囊之下,2013,
387,特丽丝塔娜,1970,
388,燃火的时刻,1968,
389,我的舅舅,1958,
390,狗镇,2003,
391,奥兰多,1992,
392,首演之夜,1977,
393,界限,1931,
394,十三个月亮,1978,
395,日以作夜,1973,
396,圣弗朗西斯之花,1950,
397,砂之女,1964,
398,一九零零,1976,
399,细细的蓝线,1988,
400,无头的女人,2008,
401,我走我路,1945,
402,阴风阵阵,1977,
403,罪与错,1989,
404,怪房客,1976,
405,一个国家的诞生,1915,
406,奥菲斯,1950,
407,没有面孔的眼睛,1960,
408,米兰的奇迹,1951,
409,迷失东京,2003,
410,活死人黎明,1978,
411,总统班底,1976,
412,白雪公主和七个小矮人,1937,
413,天涯何处觅知音,1961,
414,幻想曲,1940,
415,春闺风月,1937,
416,婚姻生活,1973,
417,欢愉,1952,
418,雀西女郎,1966,
419,一九五一年的欧洲,1952,
420,龙头之死,1962,
421,科学怪人的新娘,1935,
422,如果,1968,
423,幸福,1965,
424,漫长的告别,1973,
425,天使与我同桌,1990,
426,着魔,1981,
427,二十年后,1984,
428,神圣车行,2012,
429,冬日之光,1963,
430,被遗忘的祖先的阴影,1964,
431,肖申克的救赎,1994,
432,阿飞正传,1990,
433,一个明星的诞生,1954,
434,乞丐,1961,
435,赌城风云,1995,
436,放荡的女皇,1934,
437,摄影师,1928,
438,电视台风云,1976,
439,海上花,1998,
440,大地在波动,1948,
441,赤裸裸,1993,
442,舞台春秋,1952,
443,无辜的人,1961,
444,风,1928,
445,兰基先生的罪行,1936,
446,托尼·厄德曼,2016,
447,法国康康舞,1955,
448,失衡生活,1982,
449,伊万的童年,1962,
450,中部地区,1971,
451,家宴,1998,
452,二楼传来的歌声,2000,
453,月球旅行记,1902,
454,杀戮演绎,2012,
455,射杀钢琴师,1960,
456,德尔苏·乌扎拉,1975,
457,萤火虫之墓,1988,
458,十月,1928,
459,巴黎在燃烧,1990,
460,倾听不列颠,1942,
461,人工智能,2001,
462,潘神的迷宫,2006,
463,美国哈兰县,1976,
464,木偶奇遇记,1940,
465,棕榈滩的故事,1942,
466,旺妲的房间,2000,
467,对她说,2002,
468,船长二世,1928,
469,恋爱症候群,2006,
470,浮于碧海,1936,
471,魅影缝匠,2017,
472,大象,2003,
473,正午,1952,
474,死者,1987,
475,雾中风景,1988,
476,原野神驹,1950,
477,落水狗,1992,
478,无医可靠,2005,
479,萝拉,1961,
480,站台,2000,
481,秘密与谎言,1996,
482,魔女嘉莉,1976,
483,艰辛岁月,1963,
484,战国妖姬,1954,
485,我与长指甲,1987,
486,大红灯笼高高挂,1991,
487,小亚细亚往事,2011,
488,扎马,2017,
489,柏蒂娜的苦泪,1972,
490,搏击俱乐部,1999,
491,江湖浪子,1961,
492,双峰：与火同行,1992,
493,老无所依,2007,
494,桂河大桥,1957,
495,五支歌,1970,
496,凶线,1981,
497,逃亡,1944,
498,原野奇侠,1953,
499,杀死一只知更鸟,1962,
500,万世魔星,1979,
501,男性，女性,1966,
502,玛婕妲·拉扎洛娃,1967,
503,下一站，天国,1998,
504,待客之道,1923,
505,幽灵公主,1997,
506,严密监视的列车,1966,
507,纯真时刻,1996,
508,银色·性·男女,1993,
509,内陆帝国,2006,
510,麦秋,1951,
511,老男孩,2003,
512,欲望号快车,1996,
513,虎胆龙威,1988,
514,生生长流,1992,
515,双峰,2017,
516,不羁夜,1997,
517,纯真年代,1993,
518,孽扣,1988,
519,卡斯帕尔·豪泽尔之谜,1974,
520,伊甸园之东,1955,
521,法国贩毒网,1971,
522,吸血鬼,1915,
523,纳粹狂魔,1969,
524,十二怒汉,1957,
525,爱丽丝城市漫游记,1974,
526,窃听风暴,2006,
527,浮士德,1926,
528,少年时代,2014,
529,大河之歌,1956,
530,杀人回忆,2003,
531,亚历山大·涅夫斯基,1938,
532,光之翼,1987,
533,随风而逝,1999,
534,蓝,1993,
535,步步惊魂,1967,
536,妮诺契卡,1939,
537,罗塞塔,1999,
538,歌声俪影,1935,
539,终结者,1984,
540,日瓦戈医生,1965,
541,故乡之光,2010,
542,人类之子,2006,
543,阿伦人,1934,
544,汉娜姐妹,1986,
545,怒火青春,1995,
546,上海小姐,1947,
547,悬崖上的野餐,1975,
548,我你他她,1974,
549,七宗罪,1995,
550,私恋失调,2002,
551,火车怪客,1951,
552,青年林肯,1939,
553,音乐之声,1965,
554,俄罗斯方舟,2002,
555,虎豹小霸王,1969,
556,很可能是魔鬼,1977,
557,机器人总动员,2008,
558,与僵尸同行,1943,
559,离魂异客,1995,
560,影武者,1980,
561,默文·卡拉,2002,
562,当我往前走之时偶尔会瞥到一缕美丽之景,2000,
563,无粮的土地,1933,
564,断背山,2005,
565,爱情神话,1969,
566,婚礼进行曲,1928,
567,富贵逼人来,1979,
568,疯狂的麦克斯2,1981,
569,黄土地,1984,
570,桑比赞加,1972,
571,蓝天使,1930,
572,马布斯博士的遗嘱,1933,
573,大师,2012,
574,金发女郎的爱情,1965,
575,逍遥骑士,1969,
576,罗拉秘史,1944,
577,豹族,1942,
578,辣手摧花,1943,
579,沉默,1963,
580,朦胧的欲望,1977,
581,阿甘正传,1994,
582,巴顿·芬克,1991,
583,来自东方,1993,
584,富人，穷人,1961,
585,法外之徒,1964,
586,高于生活,1956,
587,仆人,1963,
588,月光光心慌慌,1978,
589,天使爱美丽,2001,
590,路易十四的崛起,1966,
591,指环王1：护戒使者,2001,
592,侏罗纪公园,1993,
593,冷血惊魂,1965,
594,故事中的故事,1979,
595,卧虎藏龙,2000,
596,窈窕淑男,1982,
597,共生心理分类学：第1幕,1968,
598,终结者2：审判日,1991,
599,绅士爱美人,1953,
600,灰色花园,1975,
601,十二宫,2007,
602,前进青春,2006,
603,漫长的一天结束了,1992,
604,哈泰利,1962,
605,西印度群岛,1979,
606,七次机会,1925,
607,全金属外壳,1987,
608,罗马风情画,1972,
609,纽约提喻法,2008,
610,生死狂澜,1972,
611,不法之徒,1986,
612,卢丹的恶魔,1971,
613,我的朋友伊万·拉布辛,1985,
614,无望的人们,1966,
615,天意,1977,
616,新桥恋人,1991,
617,影子,1958,
618,异教徒,1973,
619,爱德华·蒙克,1974,
620,夜阑人未静,1950,
621,三女性,1977,
622,布杜落水遇救记,1932,
623,天蝎星升起,1963,
624,红圈,1970,
625,锦绣华堂,1961,
626,杰森的画像,1967,
627,阿尔法城,1965,
628,别回头,1967,
629,黄金马车,1952,
630,蝴蝶梦,1940,
631,豺狼时刻,1968,
632,比利小子,1973,
633,切腹,1962,
634,金盔,1952,
635,天才一族,2001,
636,泰坦尼克号,1997,
637,蝙蝠侠：黑暗骑士,2008,
638,寻找西瓜女,1996,
639,花火,1997,
640,夜逃鸳鸯,1948,
641,科学怪人,1931,
642,洛奇,1976,
643,玩家马布斯博士,1922,
644,我自己的爱达荷,1991,
645,疤面人,1932,
646,惊天动地抢人头,1974,
647,罢工,1925,
648,篮球梦,1994,
649,纳萨林,1959,
650,捕鼠者,1999,
651,小姐弟荒原历险,1971,
652,满洲候选人,1962,
653,浪荡儿,1953,
654,玛丽娅·布劳恩的婚姻,1979,
655,礼帽,1935,
656,哈拉,1975,
657,航海家,1924,
658,阿基拉,1988,
659,贵妇失踪记,1938,
660,狂喜,1979,
661,千禧曼波,2001,
662,预言者,2009,
663,处女泉,1960,
664,爱,2012,
665,钢琴教师,2001,
666,开罗紫玫瑰,1985,
667,新科学怪人,1974,
668,小鹿斑比,1942,
669,寂静之光,2007,
670,富城,1972,
671,倒扣的王牌,1951,
672,工作,1961,
673,玩具总动员,1995,
674,霸王别姬,1993,
675,幽灵与未亡人,1947,
676,我心狂野,1990,
677,青春年少,1998,
678,夏日纪事,1961,
679,入侵者,2004,
680,机器战警,1987,
681,当哈利遇到莎莉,1989,
682,悲哀和怜悯,1969,
683,杀手,1956,
684,猜火车,1996,
685,土狼,1992,
686,史密斯先生到华盛顿,1939,
687,远方,2002,
688,绝美之城,2013,
689,地方英雄,1983,
690,给我庇护,1970,
691,内陆惊魂,1971,
692,有机体的秘密,1971,
693,安娜·玛格达丽娜·巴赫的编年史,1968,
694,七女人,1966,
695,自由的幻影,1974,
696,黑暗中的舞者,2000,
697,末路狂花,1991,
698,鱼缸,2009,
699,X圣治,1997,
700,狂欢宴,1968,
701,罗马,2018,
702,四月三周两天,2007,
703,武士兰士诺,1974,
704,阿赫迈德王子历险记,1926,
705,爱在日落黄昏时,2004,
706,新浪潮,1990,
707,推销员,1969,
708,各自逃生,1980,
709,圣山,1973,
710,卡罗尔,2015,
711,郎心似铁,1951,
712,饥饿,2008,
713,阳光普照,1953,
714,一夜狂欢,1964,
715,红磨坊,2001,
716,纸花,1959,
717,大鸟和小鸟,1966,
718,黑潮,1992,
719,宾虚,1959,
720,死神安东尼奥,1969,
721,杀人短片,1988,
722,大内幕,1953,
723,求婚妙术,1971,
724,马戏团,1928,
725,这样或那样,1978,
726,伴我同行,1986,
727,布劳涅森林的女人们,1945,
728,年少轻狂,1993,
729,慕理小镇,1955,
730,提提卡失序记事,1967,
731,爱情无计,1933,
732,玉女奇男,1952,
733,红胡子,1965,
734,呐喊,1957,
735,公主艳史,1932,
736,变蝇人,1986,
737,你妈妈也一样,2001,
738,孟加拉虎,1959,
739,纽约，纽约,1977,
740,天堂魅影,1974,
741,噢，太阳,1970,
742,前进，神军！,1987,
743,野孩子,1970,
744,白痴,1998,
745,纸月亮,1973,
746,社交网络,2010,
747,意志的胜利,1935,
748,欲望号街车,1951,
749,笔记·日志·素描,1970,
750,消防员舞会,1967,
751,圣母街上的大人物,1958,
752,硝烟中诞生,1983,
753,抚养亚利桑纳,1987,
754,新世界,2005,
755,要塞风云,1948,
756,金线,1965,
757,记忆碎片,2000,
758,绕道,1945,
759,洛丽塔,1962,
760,不羁的美女,1991,
761,热血造物,1963,
762,穿制服的女孩,1931,
763,国王迷,1975,
764,大地的年纪,1980,
765,维洛妮卡·佛丝,1982,
766,两个英国女孩与欧陆,1971,
767,爱情万岁,1994,
768,沉沦,1943,
769,今古奇观,1941,
770,无因的反叛,1955,
771,早安,1959,
772,远大前程,1946,
773,审判,1962,
774,罗马妈妈,1962,
775,情场现形记,1922,
776,刺杀肯尼迪,1991,
777,母与子,1997,
778,摩洛哥,1930,
779,近松物语,1954,
780,美国狼人在伦敦,1981,
781,翼,1966,
782,开罗车站,1958,
783,情歌恋曲,1950,
784,三十九级台阶,1935,
785,米勒的十字路口,1990,
786,春天不是读书天,1986,
787,梦之安魂曲,2000,
788,西力传,1983,
789,鬼玩人2,1987,
790,祝福,2002,
791,恶魔,1955,
792,35杯朗姆酒,2008,
793,小野猫公路历险记,1965,
794,巴黎浮世绘,2000,
795,青梅竹马,1985,
796,西线无战事,1930,
797,疤面煞星,1983,
798,趣味游戏,1997,
799,玛格丽特,2011,
800,制片人,1967,
801,恐怖走廊,1963,
802,梵高,1991,
803,崩溃边缘的女人,1988,
804,禁忌的游戏,1952,
805,亚伯拉罕山谷,1993,
806,狗·星·人,1965,
807,收播新闻,1987,
808,南方,1983,
809,玫瑰霍巴特,1936,
810,巴黎一妇人,1923,
811,三峡好人,2006,
812,狗脸的岁月,1985,
813,受难记,1982,
814,巴格达妙贼,1940,
815,夏夜的微笑,1955,
816,小妈妈,2021,
817,幸运儿,1973,
818,灰熊人,2005,
819,浴室春情,1970,
820,裸岛,1960,
821,迷失之地,1982,
822,爱情是狗娘,2000,
823,剪刀手爱德华,1990,
824,黄巾骑兵队,1949,
825,生人勿进,2008,
826,电车狂,1970,
827,小飞象,1941,
828,赤线地带,1956,
829,他人之子,2002,
830,蔷薇的葬礼,1969,
831,巴黎公社,2000,
832,大逃亡,1963,
833,天外魔花,1956,
834,奇异小子,1997,
835,我在伊朗长大,2007,
836,无耻混蛋,2009,
837,女人的烦恼,1974,
838,歼匪喋血战,1949,
839,安琪,1937,
840,惊爆点,1991,
841,希特勒：一部德国的电影,1977,
842,衰弱症,1989,
843,好莱坞往事,2019,
844,流浪者之歌,1988,
845,我的美国舅舅,1980,
846,太空先锋,1983,
847,星河战队,1997,
848,阿黛尔的生活,2013,
849,麦基与尼基,1976,
850,太早，太迟,1981,
851,长夜绵绵,1982,
852,羞耻,1968,
853,菲律宾浴血战,1945,
854,克莱尔的膝盖,1970,
855,西西里岛,1999,
856,独领风骚,1995,
857,我的小情人,1974,
858,铁皮鼓,1979,
859,拯救大兵瑞恩,1998,
860,间谍,1928,
861,上海快车,1932,
862,我们如此相爱,1974,
863,蒂凡尼的早餐,1961,
864,女煞葛洛莉,1980,
865,未知者,1927,
866,饲养乌鸦,1976,
867,边缘,1933,
868,巨蟒与圣杯,1975,
869,罗宾汉历险记,1938,
870,红军与白军,1967,
871,大西洋,2019,
872,红高粱,1988,
873,廊桥遗梦,1995,
874,疯狂的爱情,1969,
875,乱点鸳鸯谱,1961,
876,秘境里斯本,2010,
877,木乃伊之夜,1969,
878,非洲女王号,1951,
879,灵欲春宵,1966,
880,摩根河的奇迹,1944,
881,梦,1990,
882,史楚锡流浪记,1977,
883,四季,1975,
884,隔墙花,1981,
885,空前绝后满天飞,1980,
886,亲爱的日记,1993,
887,艳舞女郎,1995,
888,朱丽叶与魔鬼,1965,
889,极度空间,1988,
890,扎布里斯基角,1970,
891,舌头不打结,1989,
892,血溅十三号警署,1976,
893,夜深血红,1975,
894,老糊涂,1934,
895,终点旅店,1988,
896,故乡,1984,
897,幽灵马车,1921,
898,温蒂和露西,2008,
899,河流,1997,
900,雾码头,1938,
901,犯罪生涯,1955,
902,小早川家之秋,1961,
903,米克的近路,2010,
904,福利,1975,
905,沙漠中的西蒙,1965,
906,禁忌,2012,
907,外来人,1977,
908,桃色血案,1959,
909,一个美国人在巴黎,1951,
910,恶魔之夜,1957,
911,基督最后的诱惑,1988,
912,佐恩引理,1970,
913,幻梦墓园,2015,
914,源泉,1949,
915,罗马假日,1953,
916,星期天的人们,1930,
917,爱在黎明破晓前,1995,
918,喋血双雄,1989,
919,僵尸肖恩,2004,
920,烽火赤焰万里情,1981,
921,第七天堂,1927,
922,屠夫,1970,
923,血尸夜,1987,
924,血迷宫,1984,
925,暴力史,2005,
926,七美人,1975,
927,珍妮的画像,1948,
928,洞,1960,
929,飞蛾之光,1963,
930,安逸的生活,1962,
931,美国风情画,1973,
932,肮脏的哈里,1971,
933,大象,1989,
934,从云端到反抗,1979,
935,赤裸童年,1968,
936,恋恋风尘,1986,
937,母狗,1931,
938,指环王3：王者无敌,2003,
939,赫鲁斯塔廖夫，开车！,1998,
940,日记,1983,
941,末代皇帝,1987,
942,回归,2003,
943,冰风暴,1997,
944,斯巴达克斯,1960,
945,美国丽人,1999,
946,黑暗时代,1981,
947,甜蜜的梦魇,1977,
948,奥赛罗,1951,
949,拆弹部队,2008,
950,铁窗喋血,1967,
951,阿凡达,2009,
952,被咒之爱,1978,
953,决斗,1971,
954,这个杀手不太冷,1994,
955,焦点新闻,1969,
956,碧海青天夜夜心,1957,
957,奥林匹亚1：民族的节日,1938,
958,奥林匹亚2：美的祭典,1938,
959,小丑之夜,1953,
960,枪疯,1950,
961,漫长的告别,1971,
962,阳光下的决斗,1946,
963,捉鬼敢死队,1984,
964,真心的苏西,1919,
965,情枭的黎明,1993,
966,夺魂索,1948,
967,我是一个黑人,1958,
968,早餐俱乐部,1985,
969,疯狂的一页,1926,
970,狐及其友,1975,
971,午后枪声,1962,
972,钢琴家,2002,
973,特殊任务,1973,
974,不良少女莫妮卡,1953,
975,鲁莽时刻,1949,
976,汉江怪物,2006,
977,安纳塔汉,1953,
978,衣冠禽兽,1938,
979,一千零一夜,1974,
980,通往绞刑架的电梯,1958,
981,没有和解,1965,
982,怪谈,1964,
983,浪子春潮,1960,
984,吉尔达,1946,
985,汉兹沃思的歌,1986,
986,怒焰骄阳,1975,
987,艾德·伍德,1994,
988,甜妹妹,1989,
989,教父3,1990,
990,第二号,1975,
